Problem;Number of Iterations;Termination Criterion;Makespan;Time (s);%Gap
ta01;50;5;1339;3.546875;4.8
ta01;50;10;1312;3.171875;2.7
ta01;50;20;1324;3.28125;3.6
ta01;100;5;1297;7.90625;1.5
ta01;100;10;1305;7.953125;2.1
ta01;100;20;1297;8.609375;1.5
ta01;250;5;1297;18.75;1.5
ta01;250;10;1287;16.578125;0.7
ta01;250;20;1297;15.875;1.5
ta01;500;5;1297;35.390625;1.5
ta01;500;10;1297;33.796875;1.5
ta01;500;20;1297;32.484375;1.5
ta01;1000;5;1297;70.28125;1.5
ta01;1000;10;1297;66.6875;1.5
ta01;1000;20;1297;64.75;1.5
ta01;2500;5;1297;182.25;1.5
ta01;2500;10;1297;166.5;1.5
ta01;2500;20;1297;162.734375;1.5
ta02;50;5;1383;3.3125;1.8
ta02;50;10;1383;3.078125;1.8
ta02;50;20;1371;3;0.9
ta02;100;5;1368;7.09375;0.7
ta02;100;10;1383;6.453125;1.8
ta02;100;20;1368;6.15625;0.7
ta02;250;5;1367;17.3125;0.6
ta02;250;10;1372;16.28125;1
ta02;250;20;1366;15.71875;0.5
ta02;500;5;1371;35.09375;0.9
ta02;500;10;1368;33.0625;0.7
ta02;500;20;1370;32.15625;0.8
ta02;1000;5;1368;69.921875;0.7
ta02;1000;10;1366;66.875;0.5
ta02;1000;20;1366;64.25;0.5
ta02;2500;5;1366;175.578125;0.5
ta02;2500;10;1360;166.8125;0.1
ta02;2500;20;1366;160.453125;0.5
ta03;50;5;1147;3.34375;6.1
ta03;50;10;1162;3.5;7.5
ta03;50;20;1171;3;8.3
ta03;100;5;1162;6.75;7.5
ta03;100;10;1162;6.75;7.5
ta03;100;20;1162;6.046875;7.5
ta03;250;5;1098;17.265625;1.6
ta03;250;10;1113;16.46875;3
ta03;250;20;1116;15.75;3.2
ta03;500;5;1139;34.59375;5.4
ta03;500;10;1114;32.875;3.1
ta03;500;20;1115;31.5;3.1
ta03;1000;5;1098;70.5625;1.6
ta03;1000;10;1105;66.515625;2.2
ta03;1000;20;1098;63.515625;1.6
ta03;2500;5;1132;175.234375;4.7
ta03;2500;10;1098;164.28125;1.6
ta03;2500;20;1088;203.515625;0.6
ta04;50;5;1385;5.140625;7.1
ta04;50;10;1361;5.21875;5.3
ta04;50;20;1397;4.515625;8
ta04;100;5;1352;10.03125;4.6
ta04;100;10;1371;8.890625;6
ta04;100;20;1368;7.734375;5.8
ta04;250;5;1350;22.34375;4.4
ta04;250;10;1351;22.0625;4.5
ta04;250;20;1339;20.875;3.6
ta04;500;5;1315;43.796875;1.7
ta04;500;10;1315;41.09375;1.7
ta04;500;20;1351;38.4375;4.5
ta04;1000;5;1322;84.171875;2.2
ta04;1000;10;1309;79.765625;1.2
ta04;1000;20;1310;77.265625;1.3
ta04;2500;5;1342;208.34375;3.8
ta04;2500;10;1309;234.953125;1.2
ta04;2500;20;1308;226.109375;1.2
ta05;50;5;1277;4.78125;3.3
ta05;50;10;1261;4.5625;2
ta05;50;20;1289;4.21875;4.3
ta05;100;5;1258;9.296875;1.8
ta05;100;10;1265;9.125;2.3
ta05;100;20;1279;9.234375;3.5
ta05;250;5;1250;25.296875;1.1
ta05;250;10;1291;23.640625;4.4
ta05;250;20;1250;21.578125;1.1
ta05;500;5;1253;49.265625;1.4
ta05;500;10;1250;46.3125;1.1
ta05;500;20;1250;44.40625;1.1
ta05;1000;5;1277;91.328125;3.3
ta05;1000;10;1250;79.84375;1.1
ta05;1000;20;1250;69.90625;1.1
ta05;2500;5;1250;191.65625;1.1
ta05;2500;10;1250;189.03125;1.1
ta05;2500;20;1244;176.71875;0.6
ta06;50;5;1272;3.796875;6.4
ta06;50;10;1257;3.859375;5.2
ta06;50;20;1249;3.765625;4.5
ta06;100;5;1228;9.953125;2.8
ta06;100;10;1245;9.40625;4.2
ta06;100;20;1272;9.203125;6.4
ta06;250;5;1224;18.921875;2.4
ta06;250;10;1224;18.53125;2.4
ta06;250;20;1268;17.921875;6.1
ta06;500;5;1224;38.40625;2.4
ta06;500;10;1224;39.328125;2.4
ta06;500;20;1224;37.328125;2.4
ta06;1000;5;1210;80.0625;1.3
ta06;1000;10;1210;74.5625;1.3
ta06;1000;20;1210;74.71875;1.3
ta06;2500;5;1221;206.53125;2.2
ta06;2500;10;1210;190.671875;1.3
ta06;2500;20;1224;180.421875;2.4
ta07;50;5;1259;3.859375;1.6
ta07;50;10;1259;4.28125;1.6
ta07;50;20;1259;3.703125;1.6
ta07;100;5;1251;8.1875;1
ta07;100;10;1267;7.296875;2.3
ta07;100;20;1259;7.453125;1.6
ta07;250;5;1259;20.84375;1.6
ta07;250;10;1251;20.03125;1
ta07;250;20;1251;19.140625;1
ta07;500;5;1259;40.96875;1.6
ta07;500;10;1251;38.828125;1
ta07;500;20;1259;36.421875;1.6
ta07;1000;5;1251;78.65625;1
ta07;1000;10;1251;74.40625;1
ta07;1000;20;1251;70.3125;1
ta07;2500;5;1251;200.078125;1
ta07;2500;10;1251;187.859375;1
ta07;2500;20;1257;176.90625;1.5
ta08;50;5;1274;4.15625;5.6
ta08;50;10;1312;4.015625;8.8
ta08;50;20;1283;3.65625;6.4
ta08;100;5;1258;8.484375;4.3
ta08;100;10;1283;7.734375;6.4
ta08;100;20;1283;7.640625;6.4
ta08;250;5;1235;20.78125;2.4
ta08;250;10;1251;19.234375;3.7
ta08;250;20;1259;18.84375;4.4
ta08;500;5;1250;41.984375;3.6
ta08;500;10;1283;39.140625;6.4
ta08;500;20;1222;38.046875;1.3
ta08;1000;5;1240;80.859375;2.8
ta08;1000;10;1229;78.578125;1.9
ta08;1000;20;1223;75.421875;1.4
ta08;2500;5;1230;208.921875;2
ta08;2500;10;1214;201.234375;0.7
ta08;2500;20;1215;191.59375;0.7
ta09;50;5;1290;4.21875;4.9
ta09;50;10;1271;3.640625;3.3
ta09;50;20;1290;3.46875;4.9
ta09;100;5;1286;8.234375;4.6
ta09;100;10;1271;7.953125;3.3
ta09;100;20;1298;7.46875;5.5
ta09;250;5;1282;20.921875;4.2
ta09;250;10;1271;19.890625;3.3
ta09;250;20;1298;18.765625;5.5
ta09;500;5;1255;42.171875;2
ta09;500;10;1255;40.078125;2
ta09;500;20;1255;36.4375;2
ta09;1000;5;1255;83.03125;2
ta09;1000;10;1253;78.328125;1.9
ta09;1000;20;1264;75.703125;2.8
ta09;2500;5;1278;207.3125;3.9
ta09;2500;10;1240;196.203125;0.8
ta09;2500;20;1255;185.859375;2
ta10;50;5;1174;3.984375;6
ta10;50;10;1185;4.15625;6.9
ta10;50;20;1185;3.515625;6.9
ta10;100;5;1146;7.921875;3.4
ta10;100;10;1181;7.9375;6.6
ta10;100;20;1188;7.21875;7.2
ta10;250;5;1136;21.4375;2.5
ta10;250;10;1111;19.328125;0.3
ta10;250;20;1161;18.9375;4.8
ta10;500;5;1127;41.390625;1.7
ta10;500;10;1151;38.4375;3.9
ta10;500;20;1148;37.015625;3.6
ta10;1000;5;1151;82.859375;3.9
ta10;1000;10;1127;79.25;1.7
ta10;1000;20;1137;74.234375;2.6
ta10;2500;5;1127;208.171875;1.7
ta10;2500;10;1124;196.625;1.4
ta10;2500;20;1119;190.515625;1
ta11;50;5;1659;4.421875;4.9
ta11;50;10;1729;4.4375;9.3
ta11;50;20;1698;3.984375;7.3
ta11;100;5;1678;9.140625;6.1
ta11;100;10;1627;8.375;2.8
ta11;100;20;1665;8.3125;5.2
ta11;250;5;1650;22.203125;4.3
ta11;250;10;1674;21.28125;5.8
ta11;250;20;1676;18.65625;5.9
ta11;500;5;1689;46.8125;6.8
ta11;500;10;1634;43.75;3.3
ta11;500;20;1638;41.515625;3.5
ta11;1000;5;1681;90.65625;6.3
ta11;1000;10;1622;86.53125;2.5
ta11;1000;20;1623;82.71875;2.6
ta11;2500;5;1669;230.1875;5.5
ta11;2500;10;1607;216.078125;1.6
ta11;2500;20;1625;208.5;2.7
ta12;50;5;1785;4.546875;7.6
ta12;50;10;1784;4.328125;7.5
ta12;50;20;1758;4.1875;6
ta12;100;5;1752;8.890625;5.6
ta12;100;10;1740;8.796875;4.9
ta12;100;20;1759;8.515625;6
ta12;250;5;1737;22.546875;4.7
ta12;250;10;1742;22.328125;5
ta12;250;20;1750;20.40625;5.5
ta12;500;5;1749;44.453125;5.4
ta12;500;10;1715;40.171875;3.4
ta12;500;20;1746;34.328125;5.2
ta12;1000;5;1728;80.65625;4.2
ta12;1000;10;1722;81.3125;3.8
ta12;1000;20;1722;73.71875;3.8
ta12;2500;5;1765;192.859375;6.4
ta12;2500;10;1701;177.40625;2.5
ta12;2500;20;1754;171.59375;5.7
ta13;50;5;1579;3.6875;5.5
ta13;50;10;1612;3.515625;7.8
ta13;50;20;1623;3.109375;8.5
ta13;100;5;1572;7.40625;5.1
ta13;100;10;1580;6.828125;5.6
ta13;100;20;1570;6.640625;4.9
ta13;250;5;1619;18.21875;8.2
ta13;250;10;1560;16.921875;4.3
ta13;250;20;1574;16.453125;5.2
ta13;500;5;1568;36.859375;4.8
ta13;500;10;1559;34.75;4.2
ta13;500;20;1542;33.734375;3.1
ta13;1000;5;1542;73.796875;3.1
ta13;1000;10;1547;68.015625;3.4
ta13;1000;20;1532;67.671875;2.4
ta13;2500;5;1556;182.640625;4
ta13;2500;10;1537;178.078125;2.7
ta13;2500;20;1535;207.625;2.6
ta14;50;5;1502;4.078125;9
ta14;50;10;1509;4.015625;9.5
ta14;50;20;1518;4.09375;10.2
ta14;100;5;1426;8.53125;3.5
ta14;100;10;1460;8.71875;6
ta14;100;20;1457;8.203125;5.7
ta14;250;5;1441;22.6875;4.6
ta14;250;10;1429;21.3125;3.7
ta14;250;20;1430;20.671875;3.8
ta14;500;5;1454;44.4375;5.5
ta14;500;10;1435;37.359375;4.1
ta14;500;20;1411;40.25;2.4
ta14;1000;5;1437;87.515625;4.3
ta14;1000;10;1417;77.5;2.8
ta14;1000;20;1414;68.828125;2.6
ta14;2500;5;1420;198.375;3
ta14;2500;10;1407;190.0625;2.1
ta14;2500;20;1421;175.09375;3.1
ta15;50;5;1538;3.734375;8.4
ta15;50;10;1502;3.765625;5.8
ta15;50;20;1549;3.375;9.2
ta15;100;5;1520;7.28125;7.1
ta15;100;10;1508;7.296875;6.3
ta15;100;20;1523;6.890625;7.3
ta15;250;5;1493;19.4375;5.2
ta15;250;10;1500;18.0625;5.7
ta15;250;20;1539;17.6875;8.5
ta15;500;5;1502;38.546875;5.8
ta15;500;10;1465;36.640625;3.2
ta15;500;20;1511;34.8125;6.5
ta15;1000;5;1512;75.453125;6.6
ta15;1000;10;1474;74.78125;3.9
ta15;1000;20;1480;73.734375;4.3
ta15;2500;5;1477;189.578125;4.1
ta15;2500;10;1470;186.453125;3.6
ta15;2500;20;1494;178.078125;5.3
ta16;50;5;1478;3.9375;5.8
ta16;50;10;1486;3.484375;6.4
ta16;50;20;1512;3.296875;8.2
ta16;100;5;1478;7.90625;5.8
ta16;100;10;1464;6.953125;4.8
ta16;100;20;1482;6.953125;6.1
ta16;250;5;1458;18.78125;4.4
ta16;250;10;1460;18.09375;4.5
ta16;250;20;1460;17.359375;4.5
ta16;500;5;1477;38.71875;5.7
ta16;500;10;1463;36.65625;4.7
ta16;500;20;1449;36.75;3.7
ta16;1000;5;1427;92.0625;2.1
ta16;1000;10;1435;106.375;2.7
ta16;1000;20;1440;84.6875;3.1
ta16;2500;5;1450;192.796875;3.8
ta16;2500;10;1410;182.375;0.9
ta16;2500;20;1424;173.453125;1.9
ta17;50;5;1556;3.5625;4.9
ta17;50;10;1586;3.890625;6.9
ta17;50;20;1623;3.28125;9.4
ta17;100;5;1548;7.25;4.3
ta17;100;10;1578;7.265625;6.3
ta17;100;20;1636;6.78125;10.2
ta17;250;5;1584;18.875;6.7
ta17;250;10;1532;17.609375;3.2
ta17;250;20;1550;17.890625;4.4
ta17;500;5;1540;38.78125;3.8
ta17;500;10;1516;36.578125;2.2
ta17;500;20;1549;34.90625;4.4
ta17;1000;5;1504;76.765625;1.3
ta17;1000;10;1518;73.078125;2.3
ta17;1000;20;1528;70.515625;3
ta17;2500;5;1518;191.578125;2.3
ta17;2500;10;1505;180.203125;1.4
ta17;2500;20;1501;192.078125;1.1
ta18;50;5;1657;3.71875;7.7
ta18;50;10;1702;3.53125;10.7
ta18;50;20;1669;3.265625;8.5
ta18;100;5;1670;7.234375;8.6
ta18;100;10;1628;7.25;5.9
ta18;100;20;1674;6.578125;8.8
ta18;250;5;1638;19.203125;6.5
ta18;250;10;1641;17.328125;6.7
ta18;250;20;1632;17.125;6.1
ta18;500;5;1629;37.5625;5.9
ta18;500;10;1577;43.859375;2.5
ta18;500;20;1581;46.421875;2.8
ta18;1000;5;1611;98.21875;4.7
ta18;1000;10;1594;94.296875;3.6
ta18;1000;20;1605;89.734375;4.4
ta18;2500;5;1596;225;3.8
ta18;2500;10;1594;186.328125;3.6
ta18;2500;20;1575;178.046875;2.4
ta19;50;5;1683;3.8125;5.6
ta19;50;10;1711;3.71875;7.4
ta19;50;20;1700;3.34375;6.7
ta19;100;5;1682;7.703125;5.6
ta19;100;10;1681;7.578125;5.5
ta19;100;20;1668;6.671875;4.7
ta19;250;5;1632;19.625;2.4
ta19;250;10;1654;18.34375;3.8
ta19;250;20;1644;17.3125;3.2
ta19;500;5;1649;38.203125;3.5
ta19;500;10;1651;36.890625;3.6
ta19;500;20;1636;35.46875;2.7
ta19;1000;5;1638;78.0625;2.8
ta19;1000;10;1636;74.75;2.7
ta19;1000;20;1638;71.625;2.8
ta19;2500;5;1668;196.421875;4.7
ta19;2500;10;1627;191.203125;2.1
ta19;2500;20;1662;179.9375;4.3
ta20;50;5;1703;3.703125;7
ta20;50;10;1705;3.484375;7.2
ta20;50;20;1726;3.921875;8.5
ta20;100;5;1678;7.46875;5.5
ta20;100;10;1681;7.5;5.7
ta20;100;20;1737;6.890625;9.2
ta20;250;5;1659;19.203125;4.3
ta20;250;10;1693;18.421875;6.4
ta20;250;20;1644;18.03125;3.3
ta20;500;5;1647;38.921875;3.5
ta20;500;10;1650;36.796875;3.7
ta20;500;20;1665;36.328125;4.7
ta20;1000;5;1645;78.515625;3.4
ta20;1000;10;1639;73.484375;3
ta20;1000;20;1665;72.03125;4.7
ta20;2500;5;1671;194.90625;5
ta20;2500;10;1626;189.15625;2.2
ta20;2500;20;1638;177.515625;3
ta21;50;5;2445;4.5;6.4
ta21;50;10;2481;4.515625;8
ta21;50;20;2401;4;4.5
ta21;100;5;2422;9.375;5.4
ta21;100;10;2406;8.375;4.7
ta21;100;20;2483;8.625;8.1
ta21;250;5;2396;23.015625;4.3
ta21;250;10;2360;22.171875;2.7
ta21;250;20;2400;21.109375;4.5
ta21;500;5;2350;46.78125;2.3
ta21;500;10;2377;44.359375;3.5
ta21;500;20;2366;42.703125;3
ta21;1000;5;2398;93.890625;4.4
ta21;1000;10;2349;93.765625;2.3
ta21;1000;20;2321;86.6875;1
ta21;2500;5;2372;233.953125;3.3
ta21;2500;10;2335;224.546875;1.7
ta21;2500;20;2335;215.53125;1.7
ta22;50;5;2229;4.765625;6.1
ta22;50;10;2183;4.265625;4
ta22;50;20;2262;4.0625;7.7
ta22;100;5;2223;9.390625;5.9
ta22;100;10;2180;8.515625;3.8
ta22;100;20;2237;8.5625;6.5
ta22;250;5;2180;23.125;3.8
ta22;250;10;2227;22.28125;6
ta22;250;20;2201;21.1875;4.8
ta22;500;5;2157;46.640625;2.7
ta22;500;10;2166;44.453125;3.1
ta22;500;20;2211;42.875;5.3
ta22;1000;5;2169;93.234375;3.3
ta22;1000;10;2186;88.53125;4.1
ta22;1000;20;2172;85.6875;3.4
ta22;2500;5;2200;234.015625;4.8
ta22;2500;10;2165;224.0625;3.1
ta22;2500;20;2146;216.125;2.2
ta23;50;5;2429;4.359375;4.4
ta23;50;10;2460;4.578125;5.8
ta23;50;20;2437;4.0625;4.8
ta23;100;5;2414;8.9375;3.8
ta23;100;10;2433;9.421875;4.6
ta23;100;20;2448;8.40625;5.2
ta23;250;5;2415;23.140625;3.8
ta23;250;10;2432;21.84375;4.6
ta23;250;20;2445;21.421875;5.1
ta23;500;5;2395;46.28125;3
ta23;500;10;2369;43.65625;1.8
ta23;500;20;2372;42.984375;2
ta23;1000;5;2397;93.125;3.1
ta23;1000;10;2430;89.671875;4.5
ta23;1000;20;2410;85.859375;3.6
ta23;2500;5;2383;234.4375;2.5
ta23;2500;10;2354;222.953125;1.2
ta23;2500;20;2380;214.890625;2.3
ta24;50;5;2364;4.53125;6.3
ta24;50;10;2366;4.25;6.4
ta24;50;20;2334;4.15625;5
ta24;100;5;2365;9.25;6.4
ta24;100;10;2309;8.671875;3.9
ta24;100;20;2357;8.546875;6
ta24;250;5;2299;23.015625;3.4
ta24;250;10;2320;22.25;4.4
ta24;250;20;2335;21.09375;5
ta24;500;5;2276;47.203125;2.4
ta24;500;10;2282;44.765625;2.7
ta24;500;20;2289;43.140625;3
ta24;1000;5;2285;93.90625;2.8
ta24;1000;10;2322;89.953125;4.5
ta24;1000;20;2286;86.34375;2.8
ta24;2500;5;2324;232.21875;4.5
ta24;2500;10;2251;224.109375;1.3
ta24;2500;20;2279;215.796875;2.5
ta25;50;5;2383;4.40625;4
ta25;50;10;2415;4.8125;5.4
ta25;50;20;2407;4.09375;5.1
ta25;100;5;2376;9.5;3.7
ta25;100;10;2431;8.640625;6.1
ta25;100;20;2391;8.703125;4.4
ta25;250;5;2355;23;2.8
ta25;250;10;2392;22.046875;4.4
ta25;250;20;2403;21.078125;4.9
ta25;500;5;2374;46.953125;3.6
ta25;500;10;2367;44.78125;3.3
ta25;500;20;2358;42.609375;2.9
ta25;1000;5;2414;92.9375;5.4
ta25;1000;10;2335;88.390625;1.9
ta25;1000;20;2355;86.171875;2.8
ta25;2500;5;2319;231.3125;1.2
ta25;2500;10;2313;222.703125;1
ta25;2500;20;2331;214.28125;1.7
ta26;50;5;2321;4.8125;4.3
ta26;50;10;2337;4.125;5
ta26;50;20;2347;3.984375;5.4
ta26;100;5;2298;9.171875;3.2
ta26;100;10;2323;8.53125;4.4
ta26;100;20;2341;8.78125;5.2
ta26;250;5;2298;22.953125;3.2
ta26;250;10;2310;22.5625;3.8
ta26;250;20;2342;21.125;5.2
ta26;500;5;2333;46.703125;4.8
ta26;500;10;2297;44.53125;3.2
ta26;500;20;2279;42.9375;2.4
ta26;1000;5;2310;93.046875;3.8
ta26;1000;10;2248;88.390625;1
ta26;1000;20;2302;86.65625;3.4
ta26;2500;5;2304;233.1875;3.5
ta26;2500;10;2270;227.9375;2
ta26;2500;20;2274;214.515625;2.2
ta27;50;5;2395;4.71875;5.4
ta27;50;10;2390;4.25;5.1
ta27;50;20;2397;4;5.5
ta27;100;5;2387;9.4375;5
ta27;100;10;2412;8.546875;6.1
ta27;100;20;2424;8.828125;6.6
ta27;250;5;2373;22.953125;4.4
ta27;250;10;2374;22.265625;4.4
ta27;250;20;2363;21.046875;4
ta27;500;5;2361;46.734375;3.9
ta27;500;10;2336;44.84375;2.8
ta27;500;20;2359;43.1875;3.8
ta27;1000;5;2381;93.25;4.8
ta27;1000;10;2349;89.546875;3.3
ta27;1000;20;2333;86.546875;2.6
ta27;2500;5;2340;231.484375;2.9
ta27;2500;10;2314;223.359375;1.8
ta27;2500;20;2343;216.59375;3.1
ta28;50;5;2313;4.46875;5.1
ta28;50;10;2316;4.765625;5.3
ta28;50;20;2329;4.390625;5.9
ta28;100;5;2330;9.234375;5.9
ta28;100;10;2348;9.015625;6.7
ta28;100;20;2303;8.71875;4.7
ta28;250;5;2272;23.1875;3.3
ta28;250;10;2288;22.171875;4
ta28;250;20;2320;21.828125;5.5
ta28;500;5;2281;46.734375;3.7
ta28;500;10;2298;44.703125;4.5
ta28;500;20;2275;42.625;3.4
ta28;1000;5;2288;97.6875;4
ta28;1000;10;2268;86.75;3.1
ta28;1000;20;2295;84.671875;4.3
ta28;2500;5;2297;292.53125;4.4
ta28;2500;10;2256;305.953125;2.5
ta28;2500;20;2239;295.078125;1.8
ta29;50;5;2330;5.796875;4.2
ta29;50;10;2372;5.828125;6
ta29;50;20;2361;5.53125;5.5
ta29;100;5;2338;12.65625;4.5
ta29;100;10;2337;11.875;4.5
ta29;100;20;2410;9.34375;7.7
ta29;250;5;2317;23.875;3.6
ta29;250;10;2319;21.59375;3.7
ta29;250;20;2341;20.765625;4.6
ta29;500;5;2266;45.796875;1.3
ta29;500;10;2316;43.4375;3.5
ta29;500;20;2278;43.3125;1.8
ta29;1000;5;2295;91.484375;2.6
ta29;1000;10;2373;87.15625;6.1
ta29;1000;20;2312;83.625;3.4
ta29;2500;5;2312;226.28125;3.4
ta29;2500;10;2253;215.640625;0.7
ta29;2500;20;2282;209.03125;2
ta30;50;5;2347;4.265625;7.8
ta30;50;10;2301;4.078125;5.6
ta30;50;20;2358;3.859375;8.3
ta30;100;5;2300;9.046875;5.6
ta30;100;10;2330;8.3125;7
ta30;100;20;2298;8.09375;5.5
ta30;250;5;2254;22.328125;3.5
ta30;250;10;2334;21.46875;7.2
ta30;250;20;2293;20.59375;5.3
ta30;500;5;2300;45.125;5.6
ta30;500;10;2260;43.1875;3.8
ta30;500;20;2352;41.671875;8
ta30;1000;5;2255;90.609375;3.5
ta30;1000;10;2251;85.953125;3.4
ta30;1000;20;2275;83.015625;4.5
ta30;2500;5;2228;226.125;2.3
ta30;2500;10;2255;215.9375;3.5
ta30;2500;20;2251;208.8125;3.4
ta31;50;5;2763;5.171875;1.4
ta31;50;10;2740;5.390625;0.6
ta31;50;20;2741;4.859375;0.6
ta31;100;5;2752;11.03125;1
ta31;100;10;2756;10.265625;1.2
