Problem,Number of Iterations,Termination Criterion,Makespan,Time (s),%Gap
Taillard Benchmark/ta01.txt,50,5,1339.0,3.546875,4.8%
Taillard Benchmark/ta01.txt,50,10,1312.0,3.171875,2.7%
Taillard Benchmark/ta01.txt,50,20,1324.0,3.28125,3.6%
Taillard Benchmark/ta01.txt,100,5,1297.0,7.90625,1.5%
Taillard Benchmark/ta01.txt,100,10,1305.0,7.953125,2.1%
Taillard Benchmark/ta01.txt,100,20,1297.0,8.609375,1.5%
Taillard Benchmark/ta01.txt,250,5,1297.0,18.75,1.5%
Taillard Benchmark/ta01.txt,250,10,1287.0,16.578125,0.7%
Taillard Benchmark/ta01.txt,250,20,1297.0,15.875,1.5%
Taillard Benchmark/ta01.txt,500,5,1297.0,35.390625,1.5%
Taillard Benchmark/ta01.txt,500,10,1297.0,33.796875,1.5%
Taillard Benchmark/ta01.txt,500,20,1297.0,32.484375,1.5%
Taillard Benchmark/ta01.txt,1000,5,1297.0,70.28125,1.5%
Taillard Benchmark/ta01.txt,1000,10,1297.0,66.6875,1.5%
Taillard Benchmark/ta01.txt,1000,20,1297.0,64.75,1.5%
Taillard Benchmark/ta01.txt,2500,5,1297.0,182.25,1.5%
Taillard Benchmark/ta01.txt,2500,10,1297.0,166.5,1.5%
Taillard Benchmark/ta01.txt,2500,20,1297.0,162.734375,1.5%
Taillard Benchmark/ta02.txt,50,5,1383.0,3.3125,1.8%
Taillard Benchmark/ta02.txt,50,10,1383.0,3.078125,1.8%
Taillard Benchmark/ta02.txt,50,20,1371.0,3.0,0.9%
Taillard Benchmark/ta02.txt,100,5,1368.0,7.09375,0.7%
Taillard Benchmark/ta02.txt,100,10,1383.0,6.453125,1.8%
Taillard Benchmark/ta02.txt,100,20,1368.0,6.15625,0.7%
Taillard Benchmark/ta02.txt,250,5,1367.0,17.3125,0.6%
Taillard Benchmark/ta02.txt,250,10,1372.0,16.28125,1.0%
Taillard Benchmark/ta02.txt,250,20,1366.0,15.71875,0.5%
Taillard Benchmark/ta02.txt,500,5,1371.0,35.09375,0.9%
Taillard Benchmark/ta02.txt,500,10,1368.0,33.0625,0.7%
Taillard Benchmark/ta02.txt,500,20,1370.0,32.15625,0.8%
Taillard Benchmark/ta02.txt,1000,5,1368.0,69.921875,0.7%
Taillard Benchmark/ta02.txt,1000,10,1366.0,66.875,0.5%
Taillard Benchmark/ta02.txt,1000,20,1366.0,64.25,0.5%
Taillard Benchmark/ta02.txt,2500,5,1366.0,175.578125,0.5%
Taillard Benchmark/ta02.txt,2500,10,1360.0,166.8125,0.1%
Taillard Benchmark/ta02.txt,2500,20,1366.0,160.453125,0.5%
Taillard Benchmark/ta03.txt,50,5,1147.0,3.34375,6.1%
Taillard Benchmark/ta03.txt,50,10,1162.0,3.5,7.5%
Taillard Benchmark/ta03.txt,50,20,1171.0,3.0,8.3%
Taillard Benchmark/ta03.txt,100,5,1162.0,6.75,7.5%
Taillard Benchmark/ta03.txt,100,10,1162.0,6.75,7.5%
Taillard Benchmark/ta03.txt,100,20,1162.0,6.046875,7.5%
Taillard Benchmark/ta03.txt,250,5,1098.0,17.265625,1.6%
Taillard Benchmark/ta03.txt,250,10,1113.0,16.46875,3.0%
Taillard Benchmark/ta03.txt,250,20,1116.0,15.75,3.2%
Taillard Benchmark/ta03.txt,500,5,1139.0,34.59375,5.4%
Taillard Benchmark/ta03.txt,500,10,1114.0,32.875,3.1%
Taillard Benchmark/ta03.txt,500,20,1115.0,31.5,3.1%
Taillard Benchmark/ta03.txt,1000,5,1098.0,70.5625,1.6%
Taillard Benchmark/ta03.txt,1000,10,1105.0,66.515625,2.2%
Taillard Benchmark/ta03.txt,1000,20,1098.0,63.515625,1.6%
Taillard Benchmark/ta03.txt,2500,5,1132.0,175.234375,4.7%
Taillard Benchmark/ta03.txt,2500,10,1098.0,164.28125,1.6%
Taillard Benchmark/ta03.txt,2500,20,1088.0,203.515625,0.6%
Taillard Benchmark/ta04.txt,50,5,1385.0,5.140625,7.1%
Taillard Benchmark/ta04.txt,50,10,1361.0,5.21875,5.3%
Taillard Benchmark/ta04.txt,50,20,1397.0,4.515625,8.0%
Taillard Benchmark/ta04.txt,100,5,1352.0,10.03125,4.6%
Taillard Benchmark/ta04.txt,100,10,1371.0,8.890625,6.0%
Taillard Benchmark/ta04.txt,100,20,1368.0,7.734375,5.8%
Taillard Benchmark/ta04.txt,250,5,1350.0,22.34375,4.4%
Taillard Benchmark/ta04.txt,250,10,1351.0,22.0625,4.5%
Taillard Benchmark/ta04.txt,250,20,1339.0,20.875,3.6%
Taillard Benchmark/ta04.txt,500,5,1315.0,43.796875,1.7%
Taillard Benchmark/ta04.txt,500,10,1315.0,41.09375,1.7%
Taillard Benchmark/ta04.txt,500,20,1351.0,38.4375,4.5%
Taillard Benchmark/ta04.txt,1000,5,1322.0,84.171875,2.2%
Taillard Benchmark/ta04.txt,1000,10,1309.0,79.765625,1.2%
Taillard Benchmark/ta04.txt,1000,20,1310.0,77.265625,1.3%
Taillard Benchmark/ta04.txt,2500,5,1342.0,208.34375,3.8%
Taillard Benchmark/ta04.txt,2500,10,1309.0,234.953125,1.2%
Taillard Benchmark/ta04.txt,2500,20,1308.0,226.109375,1.2%
Taillard Benchmark/ta05.txt,50,5,1277.0,4.78125,3.3%
Taillard Benchmark/ta05.txt,50,10,1261.0,4.5625,2.0%
Taillard Benchmark/ta05.txt,50,20,1289.0,4.21875,4.3%
Taillard Benchmark/ta05.txt,100,5,1258.0,9.296875,1.8%
Taillard Benchmark/ta05.txt,100,10,1265.0,9.125,2.3%
Taillard Benchmark/ta05.txt,100,20,1279.0,9.234375,3.5%
Taillard Benchmark/ta05.txt,250,5,1250.0,25.296875,1.1%
Taillard Benchmark/ta05.txt,250,10,1291.0,23.640625,4.4%
Taillard Benchmark/ta05.txt,250,20,1250.0,21.578125,1.1%
Taillard Benchmark/ta05.txt,500,5,1253.0,49.265625,1.4%
Taillard Benchmark/ta05.txt,500,10,1250.0,46.3125,1.1%
Taillard Benchmark/ta05.txt,500,20,1250.0,44.40625,1.1%
Taillard Benchmark/ta05.txt,1000,5,1277.0,91.328125,3.3%
Taillard Benchmark/ta05.txt,1000,10,1250.0,79.84375,1.1%
Taillard Benchmark/ta05.txt,1000,20,1250.0,69.90625,1.1%
Taillard Benchmark/ta05.txt,2500,5,1250.0,191.65625,1.1%
Taillard Benchmark/ta05.txt,2500,10,1250.0,189.03125,1.1%
Taillard Benchmark/ta05.txt,2500,20,1244.0,176.71875,0.6%
Taillard Benchmark/ta06.txt,50,5,1272.0,3.796875,6.4%
Taillard Benchmark/ta06.txt,50,10,1257.0,3.859375,5.2%
Taillard Benchmark/ta06.txt,50,20,1249.0,3.765625,4.5%
Taillard Benchmark/ta06.txt,100,5,1228.0,9.953125,2.8%
Taillard Benchmark/ta06.txt,100,10,1245.0,9.40625,4.2%
Taillard Benchmark/ta06.txt,100,20,1272.0,9.203125,6.4%
Taillard Benchmark/ta06.txt,250,5,1224.0,18.921875,2.4%
Taillard Benchmark/ta06.txt,250,10,1224.0,18.53125,2.4%
Taillard Benchmark/ta06.txt,250,20,1268.0,17.921875,6.1%
Taillard Benchmark/ta06.txt,500,5,1224.0,38.40625,2.4%
Taillard Benchmark/ta06.txt,500,10,1224.0,39.328125,2.4%
Taillard Benchmark/ta06.txt,500,20,1224.0,37.328125,2.4%
Taillard Benchmark/ta06.txt,1000,5,1210.0,80.0625,1.3%
Taillard Benchmark/ta06.txt,1000,10,1210.0,74.5625,1.3%
Taillard Benchmark/ta06.txt,1000,20,1210.0,74.71875,1.3%
Taillard Benchmark/ta06.txt,2500,5,1221.0,206.53125,2.2%
Taillard Benchmark/ta06.txt,2500,10,1210.0,190.671875,1.3%
Taillard Benchmark/ta06.txt,2500,20,1224.0,180.421875,2.4%
Taillard Benchmark/ta07.txt,50,5,1259.0,3.859375,1.6%
Taillard Benchmark/ta07.txt,50,10,1259.0,4.28125,1.6%
Taillard Benchmark/ta07.txt,50,20,1259.0,3.703125,1.6%
Taillard Benchmark/ta07.txt,100,5,1251.0,8.1875,1.0%
Taillard Benchmark/ta07.txt,100,10,1267.0,7.296875,2.3%
Taillard Benchmark/ta07.txt,100,20,1259.0,7.453125,1.6%
Taillard Benchmark/ta07.txt,250,5,1259.0,20.84375,1.6%
Taillard Benchmark/ta07.txt,250,10,1251.0,20.03125,1.0%
Taillard Benchmark/ta07.txt,250,20,1251.0,19.140625,1.0%
Taillard Benchmark/ta07.txt,500,5,1259.0,40.96875,1.6%
Taillard Benchmark/ta07.txt,500,10,1251.0,38.828125,1.0%
Taillard Benchmark/ta07.txt,500,20,1259.0,36.421875,1.6%
Taillard Benchmark/ta07.txt,1000,5,1251.0,78.65625,1.0%
Taillard Benchmark/ta07.txt,1000,10,1251.0,74.40625,1.0%
Taillard Benchmark/ta07.txt,1000,20,1251.0,70.3125,1.0%
Taillard Benchmark/ta07.txt,2500,5,1251.0,200.078125,1.0%
Taillard Benchmark/ta07.txt,2500,10,1251.0,187.859375,1.0%
Taillard Benchmark/ta07.txt,2500,20,1257.0,176.90625,1.5%
Taillard Benchmark/ta08.txt,50,5,1274.0,4.15625,5.6%
Taillard Benchmark/ta08.txt,50,10,1312.0,4.015625,8.8%
Taillard Benchmark/ta08.txt,50,20,1283.0,3.65625,6.4%
Taillard Benchmark/ta08.txt,100,5,1258.0,8.484375,4.3%
Taillard Benchmark/ta08.txt,100,10,1283.0,7.734375,6.4%
Taillard Benchmark/ta08.txt,100,20,1283.0,7.640625,6.4%
Taillard Benchmark/ta08.txt,250,5,1235.0,20.78125,2.4%
Taillard Benchmark/ta08.txt,250,10,1251.0,19.234375,3.7%
Taillard Benchmark/ta08.txt,250,20,1259.0,18.84375,4.4%
Taillard Benchmark/ta08.txt,500,5,1250.0,41.984375,3.6%
Taillard Benchmark/ta08.txt,500,10,1283.0,39.140625,6.4%
Taillard Benchmark/ta08.txt,500,20,1222.0,38.046875,1.3%
Taillard Benchmark/ta08.txt,1000,5,1240.0,80.859375,2.8%
Taillard Benchmark/ta08.txt,1000,10,1229.0,78.578125,1.9%
Taillard Benchmark/ta08.txt,1000,20,1223.0,75.421875,1.4%
Taillard Benchmark/ta08.txt,2500,5,1230.0,208.921875,2.0%
Taillard Benchmark/ta08.txt,2500,10,1214.0,201.234375,0.7%
Taillard Benchmark/ta08.txt,2500,20,1215.0,191.59375,0.7%
Taillard Benchmark/ta09.txt,50,5,1290.0,4.21875,4.9%
Taillard Benchmark/ta09.txt,50,10,1271.0,3.640625,3.3%
Taillard Benchmark/ta09.txt,50,20,1290.0,3.46875,4.9%
Taillard Benchmark/ta09.txt,100,5,1286.0,8.234375,4.6%
Taillard Benchmark/ta09.txt,100,10,1271.0,7.953125,3.3%
Taillard Benchmark/ta09.txt,100,20,1298.0,7.46875,5.5%
Taillard Benchmark/ta09.txt,250,5,1282.0,20.921875,4.2%
Taillard Benchmark/ta09.txt,250,10,1271.0,19.890625,3.3%
Taillard Benchmark/ta09.txt,250,20,1298.0,18.765625,5.5%
Taillard Benchmark/ta09.txt,500,5,1255.0,42.171875,2.0%
Taillard Benchmark/ta09.txt,500,10,1255.0,40.078125,2.0%
Taillard Benchmark/ta09.txt,500,20,1255.0,36.4375,2.0%
Taillard Benchmark/ta09.txt,1000,5,1255.0,83.03125,2.0%
Taillard Benchmark/ta09.txt,1000,10,1253.0,78.328125,1.9%
Taillard Benchmark/ta09.txt,1000,20,1264.0,75.703125,2.8%
Taillard Benchmark/ta09.txt,2500,5,1278.0,207.3125,3.9%
Taillard Benchmark/ta09.txt,2500,10,1240.0,196.203125,0.8%
Taillard Benchmark/ta09.txt,2500,20,1255.0,185.859375,2.0%
Taillard Benchmark/ta10.txt,50,5,1174.0,3.984375,6.0%
Taillard Benchmark/ta10.txt,50,10,1185.0,4.15625,6.9%
Taillard Benchmark/ta10.txt,50,20,1185.0,3.515625,6.9%
Taillard Benchmark/ta10.txt,100,5,1146.0,7.921875,3.4%
Taillard Benchmark/ta10.txt,100,10,1181.0,7.9375,6.6%
Taillard Benchmark/ta10.txt,100,20,1188.0,7.21875,7.2%
Taillard Benchmark/ta10.txt,250,5,1136.0,21.4375,2.5%
Taillard Benchmark/ta10.txt,250,10,1111.0,19.328125,0.3%
Taillard Benchmark/ta10.txt,250,20,1161.0,18.9375,4.8%
Taillard Benchmark/ta10.txt,500,5,1127.0,41.390625,1.7%
Taillard Benchmark/ta10.txt,500,10,1151.0,38.4375,3.9%
Taillard Benchmark/ta10.txt,500,20,1148.0,37.015625,3.6%
Taillard Benchmark/ta10.txt,1000,5,1151.0,82.859375,3.9%
Taillard Benchmark/ta10.txt,1000,10,1127.0,79.25,1.7%
Taillard Benchmark/ta10.txt,1000,20,1137.0,74.234375,2.6%
Taillard Benchmark/ta10.txt,2500,5,1127.0,208.171875,1.7%
Taillard Benchmark/ta10.txt,2500,10,1124.0,196.625,1.4%
Taillard Benchmark/ta10.txt,2500,20,1119.0,190.515625,1.0%
Taillard Benchmark/ta11.txt,50,5,1659.0,4.421875,4.9%
Taillard Benchmark/ta11.txt,50,10,1729.0,4.4375,9.3%
Taillard Benchmark/ta11.txt,50,20,1698.0,3.984375,7.3%
Taillard Benchmark/ta11.txt,100,5,1678.0,9.140625,6.1%
Taillard Benchmark/ta11.txt,100,10,1627.0,8.375,2.8%
Taillard Benchmark/ta11.txt,100,20,1665.0,8.3125,5.2%
Taillard Benchmark/ta11.txt,250,5,1650.0,22.203125,4.3%
Taillard Benchmark/ta11.txt,250,10,1674.0,21.28125,5.8%
Taillard Benchmark/ta11.txt,250,20,1676.0,18.65625,5.9%
Taillard Benchmark/ta11.txt,500,5,1689.0,46.8125,6.8%
Taillard Benchmark/ta11.txt,500,10,1634.0,43.75,3.3%
Taillard Benchmark/ta11.txt,500,20,1638.0,41.515625,3.5%
Taillard Benchmark/ta11.txt,1000,5,1681.0,90.65625,6.3%
Taillard Benchmark/ta11.txt,1000,10,1622.0,86.53125,2.5%
Taillard Benchmark/ta11.txt,1000,20,1623.0,82.71875,2.6%
Taillard Benchmark/ta11.txt,2500,5,1669.0,230.1875,5.5%
Taillard Benchmark/ta11.txt,2500,10,1607.0,216.078125,1.6%
Taillard Benchmark/ta11.txt,2500,20,1625.0,208.5,2.7%
Taillard Benchmark/ta12.txt,50,5,1785.0,4.546875,7.6%
Taillard Benchmark/ta12.txt,50,10,1784.0,4.328125,7.5%
Taillard Benchmark/ta12.txt,50,20,1758.0,4.1875,6.0%
Taillard Benchmark/ta12.txt,100,5,1752.0,8.890625,5.6%
Taillard Benchmark/ta12.txt,100,10,1740.0,8.796875,4.9%
Taillard Benchmark/ta12.txt,100,20,1759.0,8.515625,6.0%
Taillard Benchmark/ta12.txt,250,5,1737.0,22.546875,4.7%
Taillard Benchmark/ta12.txt,250,10,1742.0,22.328125,5.0%
Taillard Benchmark/ta12.txt,250,20,1750.0,20.40625,5.5%
Taillard Benchmark/ta12.txt,500,5,1749.0,44.453125,5.4%
Taillard Benchmark/ta12.txt,500,10,1715.0,40.171875,3.4%
Taillard Benchmark/ta12.txt,500,20,1746.0,34.328125,5.2%
Taillard Benchmark/ta12.txt,1000,5,1728.0,80.65625,4.2%
Taillard Benchmark/ta12.txt,1000,10,1722.0,81.3125,3.8%
Taillard Benchmark/ta12.txt,1000,20,1722.0,73.71875,3.8%
Taillard Benchmark/ta12.txt,2500,5,1765.0,192.859375,6.4%
Taillard Benchmark/ta12.txt,2500,10,1701.0,177.40625,2.5%
Taillard Benchmark/ta12.txt,2500,20,1754.0,171.59375,5.7%
Taillard Benchmark/ta13.txt,50,5,1579.0,3.6875,5.5%
Taillard Benchmark/ta13.txt,50,10,1612.0,3.515625,7.8%
Taillard Benchmark/ta13.txt,50,20,1623.0,3.109375,8.5%
Taillard Benchmark/ta13.txt,100,5,1572.0,7.40625,5.1%
Taillard Benchmark/ta13.txt,100,10,1580.0,6.828125,5.6%
Taillard Benchmark/ta13.txt,100,20,1570.0,6.640625,4.9%
Taillard Benchmark/ta13.txt,250,5,1619.0,18.21875,8.2%
Taillard Benchmark/ta13.txt,250,10,1560.0,16.921875,4.3%
Taillard Benchmark/ta13.txt,250,20,1574.0,16.453125,5.2%
Taillard Benchmark/ta13.txt,500,5,1568.0,36.859375,4.8%
Taillard Benchmark/ta13.txt,500,10,1559.0,34.75,4.2%
Taillard Benchmark/ta13.txt,500,20,1542.0,33.734375,3.1%
Taillard Benchmark/ta13.txt,1000,5,1542.0,73.796875,3.1%
Taillard Benchmark/ta13.txt,1000,10,1547.0,68.015625,3.4%
Taillard Benchmark/ta13.txt,1000,20,1532.0,67.671875,2.4%
Taillard Benchmark/ta13.txt,2500,5,1556.0,182.640625,4.0%
Taillard Benchmark/ta13.txt,2500,10,1537.0,178.078125,2.7%
Taillard Benchmark/ta13.txt,2500,20,1535.0,207.625,2.6%
Taillard Benchmark/ta14.txt,50,5,1502.0,4.078125,9.0%
Taillard Benchmark/ta14.txt,50,10,1509.0,4.015625,9.5%
Taillard Benchmark/ta14.txt,50,20,1518.0,4.09375,10.2%
Taillard Benchmark/ta14.txt,100,5,1426.0,8.53125,3.5%
Taillard Benchmark/ta14.txt,100,10,1460.0,8.71875,6.0%
Taillard Benchmark/ta14.txt,100,20,1457.0,8.203125,5.7%
Taillard Benchmark/ta14.txt,250,5,1441.0,22.6875,4.6%
Taillard Benchmark/ta14.txt,250,10,1429.0,21.3125,3.7%
Taillard Benchmark/ta14.txt,250,20,1430.0,20.671875,3.8%
Taillard Benchmark/ta14.txt,500,5,1454.0,44.4375,5.5%
Taillard Benchmark/ta14.txt,500,10,1435.0,37.359375,4.1%
Taillard Benchmark/ta14.txt,500,20,1411.0,40.25,2.4%
Taillard Benchmark/ta14.txt,1000,5,1437.0,87.515625,4.3%
Taillard Benchmark/ta14.txt,1000,10,1417.0,77.5,2.8%
Taillard Benchmark/ta14.txt,1000,20,1414.0,68.828125,2.6%
Taillard Benchmark/ta14.txt,2500,5,1420.0,198.375,3.0%
Taillard Benchmark/ta14.txt,2500,10,1407.0,190.0625,2.1%
Taillard Benchmark/ta14.txt,2500,20,1421.0,175.09375,3.1%
Taillard Benchmark/ta15.txt,50,5,1538.0,3.734375,8.4%
Taillard Benchmark/ta15.txt,50,10,1502.0,3.765625,5.8%
Taillard Benchmark/ta15.txt,50,20,1549.0,3.375,9.2%
Taillard Benchmark/ta15.txt,100,5,1520.0,7.28125,7.1%
Taillard Benchmark/ta15.txt,100,10,1508.0,7.296875,6.3%
Taillard Benchmark/ta15.txt,100,20,1523.0,6.890625,7.3%
Taillard Benchmark/ta15.txt,250,5,1493.0,19.4375,5.2%
Taillard Benchmark/ta15.txt,250,10,1500.0,18.0625,5.7%
Taillard Benchmark/ta15.txt,250,20,1539.0,17.6875,8.5%
Taillard Benchmark/ta15.txt,500,5,1502.0,38.546875,5.8%
Taillard Benchmark/ta15.txt,500,10,1465.0,36.640625,3.2%
Taillard Benchmark/ta15.txt,500,20,1511.0,34.8125,6.5%
Taillard Benchmark/ta15.txt,1000,5,1512.0,75.453125,6.6%
Taillard Benchmark/ta15.txt,1000,10,1474.0,74.78125,3.9%
Taillard Benchmark/ta15.txt,1000,20,1480.0,73.734375,4.3%
Taillard Benchmark/ta15.txt,2500,5,1477.0,189.578125,4.1%
Taillard Benchmark/ta15.txt,2500,10,1470.0,186.453125,3.6%
Taillard Benchmark/ta15.txt,2500,20,1494.0,178.078125,5.3%
Taillard Benchmark/ta16.txt,50,5,1478.0,3.9375,5.8%
Taillard Benchmark/ta16.txt,50,10,1486.0,3.484375,6.4%
Taillard Benchmark/ta16.txt,50,20,1512.0,3.296875,8.2%
Taillard Benchmark/ta16.txt,100,5,1478.0,7.90625,5.8%
Taillard Benchmark/ta16.txt,100,10,1464.0,6.953125,4.8%
Taillard Benchmark/ta16.txt,100,20,1482.0,6.953125,6.1%
Taillard Benchmark/ta16.txt,250,5,1458.0,18.78125,4.4%
Taillard Benchmark/ta16.txt,250,10,1460.0,18.09375,4.5%
Taillard Benchmark/ta16.txt,250,20,1460.0,17.359375,4.5%
Taillard Benchmark/ta16.txt,500,5,1477.0,38.71875,5.7%
Taillard Benchmark/ta16.txt,500,10,1463.0,36.65625,4.7%
Taillard Benchmark/ta16.txt,500,20,1449.0,36.75,3.7%
Taillard Benchmark/ta16.txt,1000,5,1427.0,92.0625,2.1%
Taillard Benchmark/ta16.txt,1000,10,1435.0,106.375,2.7%
Taillard Benchmark/ta16.txt,1000,20,1440.0,84.6875,3.1%
Taillard Benchmark/ta16.txt,2500,5,1450.0,192.796875,3.8%
Taillard Benchmark/ta16.txt,2500,10,1410.0,182.375,0.9%
Taillard Benchmark/ta16.txt,2500,20,1424.0,173.453125,1.9%
Taillard Benchmark/ta17.txt,50,5,1556.0,3.5625,4.9%
Taillard Benchmark/ta17.txt,50,10,1586.0,3.890625,6.9%
Taillard Benchmark/ta17.txt,50,20,1623.0,3.28125,9.4%
Taillard Benchmark/ta17.txt,100,5,1548.0,7.25,4.3%
Taillard Benchmark/ta17.txt,100,10,1578.0,7.265625,6.3%
Taillard Benchmark/ta17.txt,100,20,1636.0,6.78125,10.2%
Taillard Benchmark/ta17.txt,250,5,1584.0,18.875,6.7%
Taillard Benchmark/ta17.txt,250,10,1532.0,17.609375,3.2%
Taillard Benchmark/ta17.txt,250,20,1550.0,17.890625,4.4%
Taillard Benchmark/ta17.txt,500,5,1540.0,38.78125,3.8%
Taillard Benchmark/ta17.txt,500,10,1516.0,36.578125,2.2%
Taillard Benchmark/ta17.txt,500,20,1549.0,34.90625,4.4%
Taillard Benchmark/ta17.txt,1000,5,1504.0,76.765625,1.3%
Taillard Benchmark/ta17.txt,1000,10,1518.0,73.078125,2.3%
Taillard Benchmark/ta17.txt,1000,20,1528.0,70.515625,3.0%
Taillard Benchmark/ta17.txt,2500,5,1518.0,191.578125,2.3%
Taillard Benchmark/ta17.txt,2500,10,1505.0,180.203125,1.4%
Taillard Benchmark/ta17.txt,2500,20,1501.0,192.078125,1.1%
Taillard Benchmark/ta18.txt,50,5,1657.0,3.71875,7.7%
Taillard Benchmark/ta18.txt,50,10,1702.0,3.53125,10.7%
Taillard Benchmark/ta18.txt,50,20,1669.0,3.265625,8.5%
Taillard Benchmark/ta18.txt,100,5,1670.0,7.234375,8.6%
Taillard Benchmark/ta18.txt,100,10,1628.0,7.25,5.9%
Taillard Benchmark/ta18.txt,100,20,1674.0,6.578125,8.8%
Taillard Benchmark/ta18.txt,250,5,1638.0,19.203125,6.5%
Taillard Benchmark/ta18.txt,250,10,1641.0,17.328125,6.7%
Taillard Benchmark/ta18.txt,250,20,1632.0,17.125,6.1%
Taillard Benchmark/ta18.txt,500,5,1629.0,37.5625,5.9%
Taillard Benchmark/ta18.txt,500,10,1577.0,43.859375,2.5%
Taillard Benchmark/ta18.txt,500,20,1581.0,46.421875,2.8%
Taillard Benchmark/ta18.txt,1000,5,1611.0,98.21875,4.7%
Taillard Benchmark/ta18.txt,1000,10,1594.0,94.296875,3.6%
Taillard Benchmark/ta18.txt,1000,20,1605.0,89.734375,4.4%
Taillard Benchmark/ta18.txt,2500,5,1596.0,225.0,3.8%
Taillard Benchmark/ta18.txt,2500,10,1594.0,186.328125,3.6%
Taillard Benchmark/ta18.txt,2500,20,1575.0,178.046875,2.4%
Taillard Benchmark/ta19.txt,50,5,1683.0,3.8125,5.6%
